,RID,start,end,Distance,Time
0,12036,"50.0605300437894, 8.41854107373365","50.0667702165508, 8.41471409810765",893,430
1,12043,"48.7327561114668, 9.10607814788819","48.7444572947075, 9.08994197845459",2264,406
2,12053,"51.6510610175329, 6.4417280467751","51.6709082081288, 6.45464557521336",3086,603
3,12074,"49.0914195049467, 8.40642929077149","49.0897420617917, 8.41484069824219",1248,261
4,12075,"50.7310498612209, 8.99986267089844","50.7560626982266, 9.00715827941895",3443,961
5,12084,"47.7311261067313, 9.34281895162712","47.6939055871472, 9.25976411439478",10553,2343
6,12106,"51.13926525602, 14.9688720703125","51.0874586224442, 14.9724769592285",7140,1308
7,12117,"53.6053077691951, 10.1587907012436","53.6004544365068, 10.1730784265965",1862,394
8,12120,"51.4939024682846, 7.05390930175781","51.493202521125, 7.0479377497395",460,113
9,12134,"50.5996106444694, 12.6620864868164","50.5910905934737, 12.6112747192383",4943,1301
10,12141,"51.2735414936908, 8.876953125","51.1851973674009, 8.9703369140625",17003,3357
11,12173,"50.8602657644543, 12.953052520752","50.8833312147667, 12.9552841186523",3029,759
12,12174,"50.8065711492442, 12.908935546875","50.7727385296701, 12.9925346374512",9375,2537
13,12215,"52.564873317831, 13.5139560699463","52.7271441268336, 13.4369659423828",25761,4746
14,12272,"51.5674868047179, 13.2501983642578","51.561608844388, 13.1796455383301",5878,1060
15,12280,"51.4888733403548, 7.01832282549731","51.4906835496228, 7.01417183889134",595,104
16,12284,"50.5648015032008, 11.7493696510792","50.5575874677626, 11.7215779423714",2794,668
17,12288,"50.9715217332538, 11.0373115539551","50.8700573226471, 11.1785888671875",18980,4334
18,12317,"48.1590006376721, 12.8323745727539","48.1706792693428, 12.8313446044922",1632,485
19,12319,"48.8195488666013, 9.27452301861195","48.7956318499821, 9.28232717749779",4138,1621
20,12341,"53.1525749364945, 8.18553328514099","53.1592070066454, 8.12301635742188",5884,1159
21,12349,"51.3222861759783, 12.3698222637177","51.163033306278, 12.4392700195313",21328,4264
22,12356,"49.2332486998556, 6.97686005427386","49.2240042360927, 6.94806015528543",2752,907
23,12379,"52.4556235405812, 13.2951126011903","52.4907761978004, 13.3271518729345",5211,1020
24,12397,"48.580420125953, 10.8579468727112","48.55622519828, 10.9938061237335",13587,2805
25,12426,"47.6809041301682, 9.1988285770731","47.66891066903, 9.21470301342197",2246,462
26,12445,"50.9573499506209, 6.88370704650879","50.928999331534, 6.8803596496582",5574,1194
27,12470,"49.0010303401278, 8.41953647135142","48.985529470658, 8.4245567319158",2882,585
28,12471,"53.1268252074036, 8.71269357197889","53.1170582078959, 8.64499568939209",17992,4049
29,12502,"49.4456040693757, 7.78882598824566","49.4137483294269, 7.78027612024744",5037,1696
30,12503,"49.255265568147, 8.87623833987164","49.2701261279573, 8.85402085870737",3348,1007
31,12512,"49.0169487849186, 8.3619426592486","49.0142771361326, 8.3656971936216",706,173
32,12515,"50.0069193344824, 9.20269131660462","50.0686420284438, 9.36257243156433",17652,5123
33,12517,"53.1140818301948, 8.76878713723272","53.1468999316387, 8.79113262053579",6498,1141
34,12567,"48.2715845395645, 8.85461568832398","48.2701803976864, 8.82245063781738",4187,1057
35,12619,"49.0299969517953, 8.4580135345459","49.0370731651546, 8.46084594726563",852,163
36,12626,"48.8164722990965, 9.08641433270532","48.8121441585847, 9.09849929783377",1395,355
37,12645,"53.2632924812297, 10.1126189234492","53.2554031417058, 10.0799903890584",2686,647
38,12646,"52.559696010069, 13.3766913414001","52.5508110176356, 13.3329713344574",4078,849
39,12648,"50.6791248190692, 7.06846837182371","50.6903408780188, 7.10113763809204",3295,783
40,12653,"47.7730218305667, 9.60881397128105","47.7790206385348, 9.64512906968594",5165,1723
