,RID,start,end,Distance,Time
0,12031,"49.3580046172367, 8.69285855937051","49.3173373442815, 8.66107145673596",8172,923
1,12053,"51.6510610175329, 6.4417280467751","51.6709082081288, 6.45464557521336",4134,357
2,12073,"48.1386845708913, 11.5779359266162","48.1389855629293, 11.577787399292",18,5
3,12084,"47.7311261067313, 9.34281895162712","47.6939055871472, 9.25976411439478",10114,2063
4,12089,"48.1365044636946, 11.5741615281149","48.2094201056943, 11.6402797680348",13290,1410
5,12102,"51.4223887014311, 10.1220989227295","51.4200751831667, 10.1334111392498",1034,210
6,12106,"51.13926525602, 14.9688720703125","51.0874586224442, 14.9724769592285",8067,655
7,12108,"51.4680712357454, 6.92563247750513","51.4514518268011, 6.9524867535074",4650,605
8,12114,"51.4123457011356, 11.8445620983402","51.2984640290547, 11.9100211343175",23078,940
9,12143,"49.6279371495537, 11.0147516237112","49.6446416216586, 10.933339594194",9885,1105
10,12153,"51.3579032381648, 12.429313659668","51.3945180961373, 12.4796104431152",8683,856
11,12159,"50.391925725663, 8.21348190307617","50.2257064204046, 8.62787246704102",46957,3138
12,12170,"50.6080055620688, 10.6935219518209","50.4977041322984, 10.6931594293928",27381,1554
13,12173,"50.8602657644543, 12.953052520752","50.8833312147667, 12.9552841186523",3041,335
14,12174,"50.8065711492442, 12.908935546875","50.7727385296701, 12.9925346374512",9791,1096
15,12190,"51.3416083293461, 12.410521030688","51.3465545059045, 12.4108214380976",786,180
16,12194,"49.5121815164903, 6.75746363660437","49.553732473644, 6.76036834716797",9197,768
17,12195,"51.9766331435729, 8.51715087890625","51.9717688185901, 8.52230072021485",845,185
18,12213,"51.117395877219, 13.1241989135742","51.1599903006531, 13.018970489502",11334,888
19,12215,"52.564873317831, 13.5139560699463","52.7271441268336, 13.4369659423828",32878,1984
20,12216,"48.0859258592178, 10.2857791031329","48.0857266205891, 10.2576892000343",2500,347
21,12228,"48.1585492778238, 10.8324337005615","48.2715513340462, 10.6204319000244",28487,1932
22,12230,"54.1120270173413, 13.0493867397308","54.0803868496016, 13.2448768615723",15114,746
23,12248,"51.973100767141, 7.56978443416301","51.9446793220709, 7.5953088485403",5548,683
24,12254,"48.1861832861868, 11.4291776927712","48.1152482579431, 11.3981764629716",12197,811
25,12262,"52.1575190544785, 11.6171836853027","52.2302598232712, 11.6998171806335",18098,974
26,12266,"52.5129895375473, 13.3782314165728","53.3878658767626, 13.1067940701563",114373,6500
27,12286,"53.696731883733, 9.71431732177735","53.6916657747367, 9.79568481445313",8429,796
28,12297,"52.4634354198168, 13.3427249193846","52.4683229912784, 13.240199086431",13341,787
29,12309,"52.5498851678457, 6.8086051940918","52.517190693291, 6.8415641784668",6366,407
30,12315,"49.9393188836992, 7.9266357421875","49.986662503047, 8.2921028137207",36293,1777
31,12317,"48.1590006376721, 12.8323745727539","48.1706792693428, 12.8313446044922",1354,163
32,12320,"48.7515103822366, 9.50283989310265","48.6813401063016, 9.01325225830078",52695,2825
33,12334,"51.5125538600042, 7.51706028037006","51.4917942898737, 7.50461483054096",4069,626
34,12346,"53.5907431477973, 10.020434422848","53.5539543797153, 9.93786822975381",8822,1431
35,12359,"51.0996530599512, 6.94389240363307","51.1018083431664, 6.91783589802071",5225,609
36,12363,"48.352406342085, 9.97596544584667","47.5561039688015, 9.6519739413634",118328,4825
37,12371,"48.27286147639, 12.1524238586426","48.271242835165, 12.1074485778809",3798,372
38,12379,"52.4556235405812, 13.2951126011903","52.4907761978004, 13.3271518729345",5626,795
39,12385,"52.0663802230571, 8.51991083007306","52.0597917542153, 8.56081657111645",3741,463
40,12399,"53.4398318915961, 9.94086052662169","53.4418499695503, 9.94001524639316",306,48
41,12405,"51.4886786037057, 7.45541788637638","51.4947161773314, 7.4746250017779",3331,539
42,12407,"48.9459833267185, 8.81034851074219","49.0077453414719, 8.90201568603516",17769,1473
43,12408,"52.420047371329, 13.3427933311032","52.3860688507532, 13.1882359675365",21312,1448
44,12418,"49.5606573495178, 7.37148284912109","49.4415242710934, 7.76458740234375",45559,2331
45,12437,"51.2177801222796, 6.72253411263228","51.1661702981721, 6.80817174885306",11756,1158
46,12465,"50.9357145523686, 11.2893104553223","51.3626706918813, 11.2602353096008",75843,3340
47,12471,"53.1268252074036, 8.71269357197889","53.1170582078959, 8.64499568939209",28584,1814
48,12478,"53.5728618771535, 10.0415790081024","53.4475800414941, 10.0712013244629",21821,1714
49,12484,"52.3355113235352, 14.5288674831227","52.342868654292, 14.4521235223147",6992,854
50,12489,"52.3695130884187, 9.75858756464732","52.2922063825288, 9.45238543034066",28891,2473
51,12490,"53.8843936825747, 10.6597956781661","53.9273278640051, 10.1300627843739",38231,2148
52,12493,"51.1509089807584, 6.42256468490814","51.1456956351678, 6.40348188229837",3733,450
53,12494,"53.3858882125625, 11.6036222269759","53.476885962461, 11.5782161336392",16259,1205
54,12515,"50.0069193344824, 9.20269131660462","50.0686420284438, 9.36257243156433",19467,1412
55,12518,"52.5200074578656, 13.3250427246094","52.5488271001921, 13.1053161621094",20160,1984
56,12528,"48.7142169019581, 8.11456203460694","48.7050557779772, 8.16867828369141",6567,617
57,12530,"52.5117042710733, 13.3985835313797","52.5308039869585, 13.3827558159828",3714,862
58,12538,"48.5934417133811, 9.7170639038086","48.609195986036, 9.71277236938477",6790,717
59,12540,"51.7627503978097, 14.3048715587065","51.6420805609844, 14.3946075369604",20593,1614
60,12541,"47.6276551593281, 9.90854881703854","47.6025051128385, 9.86971378326416",6013,727
61,12548,"51.6621473198775, 12.37975886032","51.6435929922121, 12.4111939757131",10476,1224
62,12563,"51.5010662570365, 7.11994580813553","51.4112079125745, 7.17199885519222",16893,1642
63,12574,"50.4476943806152, 9.50935363769531","50.4974900315088, 9.93627548217774",53645,2812
64,12577,"50.4735116166537, 7.49226808449748","50.4839229856761, 7.44395792481555",8160,894
65,12578,"51.8008484425371, 11.0543060302734","54.3254668077512, 17.51220703125",649909,24207
66,12580,"50.0996809998612, 8.68040084838867","50.0740780832483, 8.68074417114258",6503,754
67,12613,"51.5365961268699, 6.97335720062256","51.5617599150239, 6.98095321655274",4172,475
68,12620,"51.4792572367787, 11.9708770955913","51.5965735129171, 11.9525241851807",16888,1543
69,12624,"48.9766538361861, 12.788257598877","48.9804145883433, 12.6879000663757",10789,741
70,12634,"52.2394174242393, 8.51834177970886","52.2405782363154, 8.47058773040772",5888,564
71,12636,"49.46260862066, 8.4276294708252","49.3144709727207, 8.07769775390625",46661,2296
72,12653,"47.7730218305667, 9.60881397128105","47.7790206385348, 9.64512906968594",6617,793
73,12666,"51.5373936023088, 6.82010650634766","51.5416810445431, 6.83521270751953",16683,1367
74,12667,"47.9082099476616, 8.3165172866193","52.495732085535, 13.4485620696682",777861,29657
75,12673,"49.6816247582971, 8.6213493347168","49.6636279582287, 8.6207914352417",4728,832
76,12680,"51.2562906740252, 6.41034650776419","51.3222161103754, 6.24291228828952",18856,1528
77,12682,"53.5546701748426, 10.0335390865803","53.5955178263709, 10.0205097533762",8032,1163
78,12687,"51.9623340093023, 14.6098852157593","50.3978426321273, 6.54865808171401",747034,28507
79,12692,"53.6040256025881, 9.91614818572998","53.2404548284281, 10.1019287109375",49869,2512
80,12694,"51.3854984170353, 7.71021366119385","51.3669524900244, 7.70469903945923",3563,496
81,12699,"48.820374531608, 10.2075985496049","48.9092319880132, 10.1561369212868",20274,1301
82,12703,"48.1525733936929, 11.8157261610031","48.1336734923661, 11.8095302581787",14056,969
83,12707,"50.043553395275, 8.97358131303918","50.0464099519638, 8.96551322832238",1768,347
84,12722,"51.479886196414, 6.83117866516113","53.5921339762829, 10.1483286909079",385410,14571
85,12727,"50.2212913329466, 8.33587646484375","50.296796659714, 8.4041976928711",14551,980
86,12734,"52.2374718564639, 7.07502365112305","52.2328461709953, 7.07210540771484",609,116
87,12742,"48.3880003949752, 10.4400118834747","48.3901156061669, 10.4334887511504",930,140
88,12753,"53.3203126333588, 13.8626861572266","53.1930373685761, 13.8874053955078",20685,1360
89,12760,"50.1060891973159, 8.6993157863617","50.1057637770747, 8.70753049806808",1692,252
90,12762,"50.3464531673257, 11.3093948364258","50.3706563634019, 11.31591796875",3323,432
91,12766,"52.6339484478619, 13.3128333091736","52.6905348148818, 13.3794593811035",9761,981
92,12769,"51.825981722517, 6.69499390292913","51.8333558791686, 6.78991556167603",7676,618
93,12776,"48.6367316308888, 8.09497832553461","48.548258622924, 8.24094772338867",27220,2192
94,12777,"51.4393631079754, 7.3084831237793","51.4269389418315, 7.35860824584961",5206,642
95,12790,"50.210416617105, 7.69432626664639","50.2243665605006, 7.61956572532654",7010,472
96,12793,"48.2995131156916, 10.978169515729","48.3106618596112, 10.9529399871826",3586,373
97,12816,"49.9176634304148, 10.6804618804017","49.9405268011683, 10.5853443130036",8497,589
98,12844,"50.1397530515197, 8.85360717773438","50.1681059262148, 8.82116317749024",5581,900
99,12845,"53.6635981298139, 9.90863800048828","53.7416520052533, 9.85748291015625",10646,1078
