"RID","on_foot","bike","car","distance_walk","time_walk","distance_bike","time_bike","distance_car","time_car","mean_dist","mean_time"
12031,0,0,1,NA,NA,NA,NA,8172,923,8172,923
12035,1,0,0,3657,2802,NA,NA,NA,NA,3657,2802
12036,0,1,0,NA,NA,893,430,NA,NA,893,430
12043,1,1,0,2264,1807,2264,406,NA,NA,2264,1106.5
12045,1,0,0,3021,2455,NA,NA,NA,NA,3021,2455
12053,1,1,1,2886,2340,3086,603,4134,357,3368.66666666667,1100
12056,1,0,0,574,485,NA,NA,NA,NA,574,485
12063,1,0,0,779,631,NA,NA,NA,NA,779,631
12073,1,0,1,95,80,NA,NA,18,5,56.5,42.5
12074,0,1,0,NA,NA,1248,261,NA,NA,1248,261
12075,1,1,0,3343,2891,3443,961,NA,NA,3393,1926
12084,0,1,1,NA,NA,10553,2343,10114,2063,10333.5,2203
12088,1,0,0,7679,6203,NA,NA,NA,NA,7679,6203
12089,0,0,0,NA,NA,NA,NA,13290,1410,13290,1410
12090,1,0,0,198,169,NA,NA,NA,NA,198,169
12094,1,0,0,2556,2173,NA,NA,NA,NA,2556,2173
12097,1,0,0,1815,1735,NA,NA,NA,NA,1815,1735
12099,1,0,0,65699,54609,NA,NA,NA,NA,65699,54609
12102,1,0,1,1021,937,NA,NA,1034,210,1027.5,573.5
12106,0,1,1,NA,NA,7140,1308,8067,655,7603.5,981.5
12108,0,0,1,NA,NA,NA,NA,4650,605,4650,605
12111,1,0,0,51856,43099,NA,NA,NA,NA,51856,43099
12114,0,0,0,NA,NA,NA,NA,23078,940,23078,940
12117,0,1,0,NA,NA,1862,394,NA,NA,1862,394
12120,1,1,0,460,386,460,113,NA,NA,460,249.5
12129,1,0,0,268,216,NA,NA,NA,NA,268,216
12134,0,1,0,NA,NA,4943,1301,NA,NA,4943,1301
12141,1,1,0,15127,12462,17003,3357,NA,NA,16065,7909.5
12143,0,0,1,NA,NA,NA,NA,9885,1105,9885,1105
12153,0,0,1,NA,NA,NA,NA,8683,856,8683,856
12159,0,0,1,NA,NA,NA,NA,46957,3138,46957,3138
12168,1,0,0,1622,1394,NA,NA,NA,NA,1622,1394
12170,0,0,1,NA,NA,NA,NA,27381,1554,27381,1554
12173,1,1,1,2920,2479,3029,759,3041,335,2996.66666666667,1191
12174,0,1,1,NA,NA,9375,2537,9791,1096,9583,1816.5
12180,1,0,0,1868,1532,NA,NA,NA,NA,1868,1532
12183,1,0,0,3437,2973,NA,NA,NA,NA,3437,2973
12190,0,0,0,NA,NA,NA,NA,786,180,786,180
